name,full_name,birth_date,age,height_cm,weight_kgs,positions,nationality,overall_rating,potential,value_euro,wage_euro
M. Hummels,Mats Hummels,12/16/1988,30,191.01,92.1,CB,Germany,88,88,46000000,180000
H. Son,Son Heung-Min,7/8/1992,26,183,78.9,LM,Korea Republic,87,87,60000000,220000
Azpilicueta,César Azpilicueta Tanco,8/28/1989,29,177.8,78.9,RB,Spain,86,86,35500000,190000
S. Khedira,Sami Khedira,4/4/1987,32,187.96,85.3,CDM,Germany,86,86,15000000,140000
J. Vertonghen,Jan Vertonghen,4/24/1987,32,187.96,86,CB,Belgium,87,87,34000000,155000
M. Skriniar,Milan Skriniar,2/11/1995,24,187.96,79.8,CB,Slovakia,86,92,50500000,115000
N. Fekir,Nabil Fekir,7/18/1993,25,173,73,CF,France,85,87,40000000,120000
M. Reus,Marco Reus,5/31/1989,30,180.34,71.2,LM,Germany,88,88,56000000,140000
K. Koulibaly,Kalidou Koulibaly,6/20/1991,27,187.96,88.9,CB,Senegal,88,89,62500000,125000
C. Leno,Bernd Leno,3/4/1992,27,190.5,83.9,GK,Germany,85,87,32000000,115000
J. Pickford,Jordan Pickford,3/7/1994,25,185.42,77.1,GK,England,84,87,25000000,110000
Alex Telles,Alex Nicolao Telles,12/15/1992,26,180.34,73.5,LB,Brazil,84,86,25000000,56000
Y. Carrasco,Yannick Carrasco,9/4/1993,25,180.34,71.2,LM,Belgium,85,87,35000000,91000
Pizzi,Luís Miguel Afonso Fernandes,10/6/1989,29,177.8,66.2,RM,Portugal,84,84,31500000,73000
Falcao,Radamel Falcao García Zarate,2/10/1986,33,177.8,72.1,ST,Colombia,85,85,31500000,87000
F. de Jong,Frenkie de Jong,5/12/1997,21,180.34,69.9,CDM,Netherlands,86,90,44500000,88000
A. Lacazette,Alexandre Lacazette,5/28/1991,27,175.26,73,ST,France,86,87,45000000,180000
A. Witsel,Axel Witsel,1/12/1989,30,187.96,86.2,CDM,Belgium,85,85,30500000,72000
R. Mahrez,Riyad Mahrez,2/21/1991,28,179.83,73,RW,Algeria,85,86,38000000,205000
A. Di María,Ángel Di María,2/14/1988,31,180.34,75,CAM,Argentina,86,86,39500000,150000
C. Lenglet,Clément Lenglet,6/17/1995,23,185.42,80.7,CB,France,85,89,39500000,135000
João Cancelo,João Pedro Cavaco Cancelo,5/27/1994,25,182.88,74.8,RB,Portugal,84,88,29500000,89000
Koke,Jorge Resurrección Merodio,1/8/1992,27,175.26,73,CM,Spain,85,85,55500000,83000
